time,side,price,volume,role,fee
1970-01-01T05:14:59.232Z,SELL,320.72,0.2999,MAKER,0.0619180049
1970-01-01T05:15:00.261Z,SELL,320.93,0.2999,MAKER,0.0733241712
1970-01-01T05:15:13.691Z,SELL,321.02,0.2999,MAKER,0.0542824067
1970-01-01T05:15:30.131Z,SELL,321.2,0.2999,MAKER,0.0743150038
1970-01-01T05:15:31.075Z,SELL,321.37,0.2999,MAKER,0.0569482729
1970-01-01T05:15:44.630Z,SELL,321.54,0.2999,MAKER,0.0725708256
1970-01-01T05:15:52.533Z,SELL,321.68,0.2999,MAKER,0.0506076892
1970-01-01T05:16:16.077Z,SELL,321.98,0.0111,MAKER,0.0012700014
1970-01-01T05:16:16.117Z,SELL,321.98,0.2888,MAKER,0.0330429217
1970-01-01T05:16:42.955Z,BUY,321.62,0.2999,MAKER,0.0201560207
1970-01-01T05:16:46.124Z,SELL,322.1,0.2999,MAKER,0.0403643563
1970-01-01T05:17:32.168Z,BUY,321.93,0.2999,MAKER,0.0346159043
1970-01-01T05:17:36.124Z,BUY,321.41,0.2999,MAKER,0.0307435574
1970-01-01T05:17:48.040Z,SELL,321.7,0.0125,MAKER,0.0004637556
1970-01-01T05:17:48.069Z,SELL,321.7,0.2874,MAKER,0.0106626699
1970-01-01T05:17:52.051Z,BUY,321.31,0.2999,MAKER,0.0170718673
1970-01-01T05:18:16.314Z,BUY,321.02,0.2999,MAKER,0.0288964296
1970-01-01T05:18:35.129Z,SELL,321.43,0.2999,MAKER,0.0492804174
1970-01-01T05:18:41.116Z,BUY,320.86,0.2734,MAKER,0.0473852835
1970-01-01T05:18:42.040Z,BUY,320.86,0.0265,MAKER,0.0045929407
1970-01-01T05:18:51.259Z,SELL,321.5,0.2999,MAKER,0.057589711
1970-01-01T05:18:54.024Z,SELL,321.54,0.0899,MAKER,0.0178809599
1970-01-01T05:18:54.027Z,SELL,321.54,0.21,MAKER,0.0417686494
1970-01-01T05:18:55.238Z,BUY,320.88,0.2999,MAKER,0.0567490273
1970-01-01T05:19:15.276Z,SELL,321.6,0.2999,MAKER,0.0634839882
1970-01-01T05:19:28.043Z,SELL,321.82,0.0502,MAKER,0.0114571667
1970-01-01T05:19:29.455Z,SELL,321.87,0.2999,MAKER,0.068434146
1970-01-01T05:19:37.157Z,BUY,321.44,0.267,MAKER,0.0751592969
1970-01-01T05:19:37.908Z,BUY,321.44,0.0329,MAKER,0.0092612017
1970-01-01T05:19:49.325Z,BUY,321.48,0.2999,MAKER,0.0727560552
1970-01-01T05:19:56.024Z,SELL,321.93,0.0239,MAKER,0.0059788554
1970-01-01T05:19:56.029Z,SELL,321.93,0.276,MAKER,0.0690445236
1970-01-01T05:20:01.047Z,BUY,321.42,0.155,MAKER,0.0477073073
1970-01-01T05:20:01.055Z,BUY,321.42,0.1449,MAKER,0.0445986376
1970-01-01T05:20:09.045Z,BUY,321.42,0.0191,MAKER,0.0060845082
1970-01-01T05:20:10.711Z,SELL,322.06,0.2999,MAKER,0.0969220936
1970-01-01T05:20:10.711Z,SELL,322.06,0.2999,MAKER,0.0969220936
1970-01-01T05:20:53.417Z,BUY,322.07,0.2999,MAKER,0.0305712698
1970-01-01T05:21:09.162Z,SELL,322.76,0.2999,MAKER,0.0208620862
1970-01-01T05:21:11.067Z,BUY,322.12,0.1576,MAKER,0.0127422334
1970-01-01T05:21:11.203Z,BUY,322.12,0.1423,MAKER,0.0115052019
1970-01-01T05:21:20.984Z,BUY,322.01,0.2999,MAKER,0.036828491
1970-01-01T05:21:21.183Z,SELL,322.56,0.2999,MAKER,0.0527943323
1970-01-01T05:21:24.171Z,BUY,321.93,0.2999,MAKER,0.059547292
1970-01-01T05:21:25.139Z,BUY,321.97,0.2999,MAKER,0.061049825
1970-01-01T05:21:30.044Z,BUY,321.75,0.0499,MAKER,0.0093527703
1970-01-01T05:21:31.061Z,BUY,321.77,0.0499,MAKER,0.009250936
1970-01-01T05:21:34.341Z,BUY,321.73,0.2999,MAKER,0.055853482
1970-01-01T05:21:40.601Z,SELL,322.2,0.2999,MAKER,0.0543071762
1970-01-01T05:21:55.141Z,SELL,322.08,0.2999,MAKER,0.059021389
1970-01-01T05:22:10.159Z,SELL,322.06,0.2999,MAKER,0.0416158017
1970-01-01T05:22:23.920Z,BUY,321.43,0.2999,MAKER,0.0242585499
1970-01-01T05:22:26.156Z,SELL,322.07,0.2999,MAKER,0.0339061854
1970-01-01T05:22:56.026Z,SELL,321.89,0.2999,MAKER,0.0383222842
1970-01-01T05:22:56.139Z,BUY,321.25,0.2999,MAKER,0.0382925879
1970-01-01T05:23:27.201Z,BUY,321.26,0.2999,MAKER,0.0695512752
1970-01-01T05:23:35.081Z,SELL,321.75,0.0009,MAKER,0.0002419852
1970-01-01T05:23:35.092Z,SELL,321.75,0.299,MAKER,0.080392873
1970-01-01T05:23:44.143Z,SELL,321.75,0.2999,MAKER,0.0831151752
1970-01-01T05:24:01.158Z,BUY,321.31,0.234125,MAKER,0.0590811369
1970-01-01T05:24:01.160Z,BUY,321.31,0.065775,MAKER,0.016598235
1970-01-01T05:24:16.579Z,BUY,321.37,0.2999,MAKER,0.05639228
1970-01-01T05:24:31.412Z,BUY,321.32,0.2999,MAKER,0.0374606493
1970-01-01T05:24:37.519Z,SELL,321.97,0.2999,MAKER,0.031895588
1970-01-01T05:24:53.932Z,BUY,321.36,0.2999,MAKER,0.0434952198
1970-01-01T05:24:59.175Z,BUY,321.24,0.2999,MAKER,0.0534633944
1970-01-01T05:25:03.177Z,SELL,321.88,0.2999,MAKER,0.065186528
1970-01-01T05:25:06.076Z,BUY,321.24,0.07551143,MAKER,0.0174980364
1970-01-01T05:25:06.090Z,BUY,321.24,0.22438857,MAKER,0.0519968882
1970-01-01T05:25:14.888Z,SELL,321.87,0.2999,MAKER,0.0792577272
1970-01-01T05:25:18.139Z,BUY,321.24,0.1321,MAKER,0.0384040347
1970-01-01T05:25:18.184Z,BUY,321.24,0.1678,MAKER,0.0482396605
1970-01-01T05:25:18.319Z,SELL,321.87,0.2999,MAKER,0.0847703469
1970-01-01T05:25:32.168Z,BUY,321.29,0.1085,MAKER,0.0335821104
1970-01-01T05:25:32.188Z,SELL,321.93,0.2999,MAKER,0.0923068314
1970-01-01T05:25:44.995Z,SELL,321.68,0.2999,MAKER,0.0899595658
1970-01-01T05:25:50.521Z,BUY,321.32,0.2999,MAKER,0.1181010953
1970-01-01T05:26:12.049Z,SELL,322.18,0.2999,MAKER,0.1388075554
1970-01-01T05:26:18.095Z,SELL,322.18,0.175,MAKER,0.0685174924
1970-01-01T05:26:18.158Z,SELL,322.18,0.1249,MAKER,0.048729271
1970-01-01T05:26:20.963Z,BUY,321.62,0.2999,MAKER,0.1215298957
1970-01-01T05:26:25.811Z,BUY,321.62,0.2999,MAKER,0.1395836597
1970-01-01T05:26:35.327Z,SELL,322.29,0.2999,MAKER,0.1775983297
1970-01-01T05:26:40.876Z,SELL,322.39,0.0607,MAKER,0.0385966659
1970-01-01T05:26:41.026Z,SELL,322.39,0.2392,MAKER,0.15209757
1970-01-01T05:26:56.974Z,BUY,321.75,0.2999,MAKER,0.1523295224
1970-01-01T05:27:24.383Z,SELL,322.25,0.0212,MAKER,0.0078012311
1970-01-01T05:27:25.030Z,SELL,322.25,0.2787,MAKER,0.1025567515
1970-01-01T05:27:27.142Z,SELL,322.25,0.0549,MAKER,0.0176186756
1970-01-01T05:27:28.095Z,SELL,322.25,0.245,MAKER,0.0786067818
1970-01-01T05:27:28.549Z,BUY,321.61,0.2999,MAKER,0.0961559143
1970-01-01T05:27:34.126Z,SELL,322.06,0.0455,MAKER,0.0174133505
1970-01-01T05:27:34.130Z,BUY,321.43,0.2999,MAKER,0.1145505113
1970-01-01T05:27:35.330Z,SELL,322.06,0.0412,MAKER,0.0150781392
1970-01-01T05:27:36.078Z,SELL,322.06,0.2534,MAKER,0.0918110325
1970-01-01T05:27:36.094Z,SELL,322.06,0.0053,MAKER,0.0019198066
1970-01-01T05:28:19.151Z,SELL,322.41,0.2999,MAKER,0.0682319094
1970-01-01T05:28:22.308Z,SELL,322.52,0.2999,MAKER,0.0510496742
1970-01-01T05:28:32.115Z,SELL,322.66,0.0499,MAKER,0.0119166801
1970-01-01T05:28:33.034Z,SELL,322.66,0.0829,MAKER,0.019801336
1970-01-01T05:28:34.135Z,SELL,322.66,0.1671,MAKER,0.0324272636
1970-01-01T05:28:43.047Z,SELL,322.58,0.0976,MAKER,0.0201209757
1970-01-01T05:28:43.064Z,SELL,322.58,0.2023,MAKER,0.0417056699
1970-01-01T05:28:57.058Z,BUY,322.12,0.2999,MAKER,0.1023007683
1970-01-01T05:29:06.200Z,BUY,322.33,0.2999,MAKER,0.1037270307
1970-01-01T05:29:20.224Z,SELL,322.99,0.2999,MAKER,0.1275226356
1970-01-01T05:31:57.945Z,SELL,323.45,0.2999,MAKER,0.017068395
1970-01-01T05:32:17.856Z,SELL,323.6,0.2999,MAKER,0.018410363
1970-01-01T05:32:21.079Z,BUY,323.38,0.2999,MAKER,0.0335242729
1970-01-01T05:32:36.213Z,BUY,323.39,0.204,MAKER,0.0214956837
1970-01-01T05:32:36.228Z,BUY,323.39,0.0959,MAKER,0.0101050787
1970-01-01T05:32:53.262Z,BUY,323.42,0.2999,MAKER,0.0385797187
1970-01-01T05:32:56.863Z,BUY,323.43,0.2999,MAKER,0.0397272272
1970-01-01T05:33:02.008Z,SELL,323.86,0.2999,MAKER,0.0556664932
1970-01-01T05:33:07.068Z,BUY,323.51,0.2999,MAKER,0.0474712437
