﻿﻿"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-06-14 11:22:13.000,miners,0,170,23278,955,17116,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,46268,317,bittensor,None,None,None,20569,0,miners,79,240,46268,317,1,None,1068730,0,0,6.86e-14,20260606_1135,validator_metrics,2979639,1464,122276,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,177,2614,1242,8513,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-7213,148,bittensor,None,None,None,0,0,miners,79,255,-7213,148,1,None,3845197,0,0,0,20260606_1135,validator_metrics,334559,-183,158914,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,181,10871,835,11094,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,6926,224,bittensor,None,None,None,3002,0,miners,79,244,6926,224,1,None,3005459,0,0,2.05e-16,20260606_1135,validator_metrics,1391491,167,106818,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,184,56210,19307,11866,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,34169,306,bittensor,None,None,None,29735,2331,miners,79,223,34169,306,1,None,2811888,0,0,1.86e-12,20260606_1135,validator_metrics,7194905,9031,2471343,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,190,21951,6779,11558,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,17719,208,bittensor,None,None,None,8003,0,miners,79,230,17719,208,1,None,2847648,0,0,3.29e-13,20260606_1135,validator_metrics,2809714,3138,867741,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,195,26049,1396,17286,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,45828,312,bittensor,None,None,None,23044,0,miners,79,235,45828,312,1,None,1000845,0,0,1.51e-13,20260606_1135,validator_metrics,3334215,1711,178723,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,196,22050,6657,11503,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,18482,188,bittensor,None,None,None,8188,0,miners,79,232,18482,188,1,None,2864436,0,0,2.67e-13,20260606_1135,validator_metrics,2822347,2691,852141,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,204,29439,14532,8247,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,5365,116,bittensor,None,None,None,1420,608,miners,79,236,5365,116,1,None,3924050,0,0,1.35e-13,20260606_1135,validator_metrics,3768132,1331,1860052,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,207,10875,1083,11115,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,7446,221,bittensor,None,None,None,9268,335,miners,79,250,7446,221,1,None,2991663,0,0,0,20260606_1135,validator_metrics,1391982,617,138564,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,225,30472,3466,17677,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,52394,322,bittensor,None,None,None,26905,0,miners,79,227,52394,322,1,None,881265,0,0,5.05e-13,20260606_1135,validator_metrics,3900452,3797,443679,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
