02:51:14.270
119
BUY
318.43
0.0168
MAKER
0.0014
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.262
72
BUY
332.00
0.1007
MAKER
0.0124
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.262
16
BUY
341.70
0.0507
MAKER
0.0015
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.262
125
BUY
359.31
0.1997
MAKER
0.0135
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.131
72
BUY
332.00
0.1493
MAKER
0.0183
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.092
16
BUY
341.70
0.1993
MAKER
0.0057
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.092
119
BUY
318.43
0.2332
MAKER
0.0193
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.090
83
SELL
340.08
0.0942
MAKER
0.0039
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.090
82
BUY
339.31
0.2500
MAKER
0.0269
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.090
38
BUY
317.50
0.2500
MAKER
0.0168
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.083
83
SELL
340.08
0.0476
MAKER
0.0019
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.081
13
BUY
323.06
0.2500
MAKER
0.0243
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.081
12
BUY
349.87
0.0004
MAKER
0.0001
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.071
5
BUY
328.98
0.2005
MAKER
0.0059
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
02:51:14.071
21
BUY
332.50
0.1601
MAKER
0.0175
5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF
