time,side,price,volume,role,fee
05:15:11.048,SELL,327.94,0.2999,MAKER,0.0486314635
05:15:20.775,SELL,327.89,0.2999,MAKER,0.0482199491
05:15:26.295,BUY,327.25,0.2999,MAKER,0.048317978
05:15:47.015,BUY,327.49,0.2999,MAKER,0.0533228545
05:15:59.238,SELL,328.08,0.2999,MAKER,0.0530245962
05:19:04.123,SELL,328.74,0.2999,MAKER,0.0189897177
05:20:26.315,BUY,328.45,0.0841,MAKER,0.0030493332
05:20:27.120,BUY,328.45,0.2158,MAKER,0.0078245673
05:20:27.120,BUY,328.45,0.2158,MAKER,0.0078245673
05:20:41.103,BUY,328.56,0.2999,MAKER,0.0105027198
05:20:43.057,BUY,328.3,0.2764,MAKER,0.0096720726
05:20:43.057,BUY,328.3,0.2764,MAKER,0.0096720726
05:20:44.066,BUY,328.3,0.0235,MAKER,0.0008223361
05:21:56.108,BUY,327.81,0.2999,MAKER,0.0173212974
05:22:10.023,BUY,327.42,0.2999,MAKER,0.0219270672
05:22:13.034,BUY,327.37,0.2999,MAKER,0.0268716214
05:22:13.129,SELL,328.02,0.2999,MAKER,0.028674864
05:22:21.062,BUY,327.26,0.2999,MAKER,0.0373317917
05:22:27.030,BUY,326.87,0.1405,MAKER,0.020356617
05:22:27.032,BUY,326.87,0.1594,MAKER,0.0230949804
05:22:32.530,BUY,326.8,0.2999,MAKER,0.0420006828
05:22:56.139,SELL,326.37,0.2999,MAKER,0.0723951527
05:22:59.147,SELL,326.68,0.1578,MAKER,0.035308141
05:23:04.026,BUY,326.01,0.2999,MAKER,0.0689319934
05:23:28.663,SELL,326.05,0.2999,MAKER,0.0506352353
05:23:33.043,BUY,325.49,0.0219,MAKER,0.0038527898
05:23:33.066,BUY,325.49,0.278,MAKER,0.0489075601
05:23:44.155,SELL,325.75,0.2999,MAKER,0.0493199929
05:23:45.178,SELL,325.74,0.2999,MAKER,0.0469476774
05:24:00.776,SELL,325.86,0.2999,MAKER,0.0485170334
05:24:31.159,SELL,325.56,0.2999,MAKER,0.034683784
05:24:38.066,BUY,325.05,0.1684,MAKER,0.017498101
05:24:38.068,BUY,325.05,0.1315,MAKER,0.0136638971
05:24:38.196,SELL,325.69,0.2999,MAKER,0.0312754245
05:25:03.148,SELL,325.93,0.0597,MAKER,0.0060312083
05:25:03.151,SELL,325.93,0.2402,MAKER,0.0242662688
05:25:05.988,SELL,326.17,0.2999,MAKER,0.0299989607
05:25:20.062,SELL,326.61,0.1532,MAKER,0.0198650333
05:25:20.064,SELL,326.61,0.1467,MAKER,0.0190221958
05:25:32.125,SELL,326.56,0.2999,MAKER,0.0378743137
05:25:45.370,SELL,326.75,0.2999,MAKER,0.0376889349
05:25:52.026,BUY,326.37,0.0117,MAKER,0.0017992934
05:25:52.029,BUY,326.37,0.2882,MAKER,0.0443210578
05:26:09.108,BUY,326.07,0.0212,MAKER,0.0033109225
05:26:09.108,BUY,326.07,0.0212,MAKER,0.0033109225
05:26:18.248,SELL,326.75,0.2999,MAKER,0.0469481067
05:26:29.047,SELL,326.75,0.026,MAKER,0.0046871907
05:26:30.025,SELL,326.75,0.2739,MAKER,0.0493777518
05:26:38.666,SELL,326.63,0.2999,MAKER,0.0504564186
05:27:20.521,BUY,326.56,0.2999,MAKER,0.0353277036
05:27:35.174,SELL,326.73,0.2999,MAKER,0.0403436687
05:27:50.560,BUY,326.32,0.2999,MAKER,0.0420506435
05:27:51.070,SELL,326.99,0.2999,MAKER,0.0482475986
05:30:13.486,BUY,327.32,0.2999,MAKER,0.0430043532
05:30:23.156,SELL,327.88,0.2999,MAKER,0.0514056646
05:30:24.048,SELL,327.87,0.2999,MAKER,0.0529445778
05:30:37.983,BUY,327.23,0.2999,MAKER,0.0443558395
05:30:50.177,BUY,327.22,0.1547,MAKER,0.0243295426
05:30:50.188,BUY,327.22,0.1452,MAKER,0.0228354853
05:30:58.054,SELL,327.87,0.2101,MAKER,0.0331247051
05:30:58.174,SELL,327.87,0.0898,MAKER,0.0141580129
05:31:21.345,SELL,328.16,0.2999,MAKER,0.0478695818
05:31:36.130,SELL,328.42,0.2999,MAKER,0.043185732
05:31:36.170,BUY,327.75,0.2999,MAKER,0.043077833
05:31:51.395,BUY,328.02,0.2999,MAKER,0.0418384069
05:32:06.067,SELL,328.63,0.2999,MAKER,0.0443269446
05:32:06.502,BUY,327.99,0.2999,MAKER,0.0449682571
05:32:36.068,SELL,328.73,0.2999,MAKER,0.0546486644
05:32:37.242,BUY,328.16,0.0547,MAKER,0.0099503124
05:32:48.054,SELL,328.82,0.2999,MAKER,0.0546636262
05:32:52.124,BUY,328.23,0.2999,MAKER,0.0545655435
05:33:07.150,SELL,328.69,0.2999,MAKER,0.0551148832
